EmpID,Activity,TimeFreq,Importance,Points
1,Reporting,5,7,1.5
1,Client Calls,6,6,2.0
1,Documentation,4,5,1.5
1,Training,5,6,2.0
1,Code Review,6,7,0.5
1,Team Meeting,5,4,1.0
1,Quality Check,4,5,1.5
2,Reporting,2,6,2.0
2,Client Calls,3,5,2.0
2,Documentation,3,3,1.5
2,Training,4,4,0.5
2,Code Review,5,6,1.5
2,Team Meeting,3,4,1.0
2,Quality Check,2,5,2.0
3,Reporting,2,4,1.0
3,Client Calls,1,5,2.0
3,Documentation,3,3,2.0
3,Training,2,4,0.5
3,Code Review,1,5,2.0
3,Team Meeting,2,2,0.5
3,Quality Check,1,3,1.5
